_qq7d51391848320,深圳,复仇者精神领袖诞生,5.0,2019-02-27 14:30:39
Wtf752332889,赣州,可能是我对题材感觉不感冒吧，差点没看完,2.5,2019-02-09 22:56:23
yituosamul,温州,马马虎虎，喜欢美队扮演卡通剧傻乎乎的表情。所以最后与恋人之约还是没等到啊。,4.0,2019-02-08 19:42:48
你文,南昌,好看极了！史蒂夫·罗杰斯当美国队长好帅啊！有爱自己的国家的正义与自由，还阻止了红骷髅约翰·施密特和阿尼姆·佐拉和九头蛇、希特勒和他的纳粹党称霸世界的阴谋。还阻止红骷髅用宇宙魔方空间宝石的力量毁掉美国！美国队长和有核武器飞机掉入冰海，沉睡了70年。到现代醒来，继续保护美国和全世界！我要像美国队长一样热爱正义和自由、和平。我喜欢《美国队长:复仇者先锋》的电影。,5.0,2018-12-26 19:46:31
生非,北京,美队 冬兵 布鲁克林一枝花,5.0,2018-11-18 21:45:37
彭咸所居,杭州,恭贺美队加入,5.0,2018-11-10 22:28:57
佩小妮子,温州,最近看了一些美国年代感比较久的片子，发现美国果然比我们先进几十年,5.0,2018-10-01 01:27:54
耐斯克,舟山,错过了最后的约会,5.0,2018-09-02 12:22:46
你很漫长,成都,那个盾牌真的骚,3.5,2018-08-19 14:15:19
影迷酸菜,商洛,好看好看好看,5.0,2018-08-16 07:20:55
酷狗,福州,美国队长的精神值得学习,4.5,2018-06-08 15:11:53
哲大叔,襄阳,开山之作了。。不错，唯一的遗憾就是i had a date,4.5,2018-06-06 21:29:50
乐影人,石家庄,6.5分。有个不错的开头和结尾，反派还是纸糊的……,3.0,2018-05-23 19:06:38
hnht2015,绵阳,很好看，很喜欢 时间轴，第一部,4.5,2018-05-17 14:42:50
攸涕,贵阳,电影以一个弱者的姿态为出发点，伴随西方正义感逐步蜕变，最终完完全全且毫无保留地以美国式对个人英雄的意淫和膜拜达到最高潮，虽然此类影片依旧蚕食着观众之耐性，不过好在本片的主流因素还是比较丰富，结合二战题材，把希特勒的疯狂融入到新的世界之中，团队胜利与反战情绪高涨，正能量的传播早已掩盖了它所带来的诟病，它所展现的基于男性角色的内心澎湃感和优越感成全了一个为之欢呼与赞叹的理由...,3.0,2018-05-16 23:01:28
跨时代的周小伦,,刻画得不错，对后面人物至关重要！,5.0,2017-06-25 01:48:16
大吃大悲,无锡,很平庸很平庸，相比起源故事，女侠更胜一筹,2.0,2017-06-18 18:56:40
tWv890541229,滨州,太好看了，简直好看极了！,5.0,2017-06-02 21:41:29
Mr.Chen,长垣,挺好的，介绍了美国队长的背景，典型的美国式英雄主义，只是罗杰斯的好朋友比较惨。,4.0,2017-05-25 14:08:10
张晨,莱芜,喜欢漫威，喜欢美队，所以又重温了一下，第一部基本上是为第二部做铺垫。拍摄技术上现在看还是有一些纰漏的。,4.0,2017-05-17 14:32:29
白兔糖,武汉,美队的腹肌——好棒,4.0,2017-05-17 09:04:57
Ptb421927062,郑州,漫威的又一力作！,4.0,2017-05-09 10:09:16
Fearless听风,北京,挺有意思的😁,4.0,2017-04-17 22:49:05
Gilgamesh,北京,好看，美队迷,5.0,2017-04-05 23:30:57
网名很俗,齐齐哈尔,漫威的既视感,4.0,2017-04-01 19:40:07
hqw0818,杭州,第一次发现原来人的身形大小还能后期走出来，刚开场美队这么骨瘦如柴，差点就信了，再补一句，美队真的好帅啊,4.0,2017-03-11 07:50:32
瓦晴,杭州,只对弱鸡变出一身肌肉那段有印象红骷髅这种boss真是一点没兴趣,2.0,2017-03-11 01:06:05
_qqdw31423890254,宜昌,还行，交代了一些事情而已,4.0,2017-03-09 09:11:25
ewA543471646,高阳,剧情不是特别刺激但还不错，结尾挺好看的，可以说为复仇者联盟打下基础吧。,3.5,2017-01-28 18:40:48
LionelMessi,,美国队长是超级英雄里最有责任人的人。美国队长拯救了漫威，一个诞生在二战时期，有着所有人都嫌弃的弱小身材，但是他的正直，他的无私，他的坚持，和他对这个国家无上的爱，给了他一个改变自己命运的机会。被注射血清，成为历史上唯一一个超级士兵，到穿着可笑的制服，在舞台上像个小丑似的到处演出慰问。这个有着非常身手，并且渴望做出一些事情的大兵终于爆发了，他直捣敌人的巢穴，他还欠着卡特那支再也没能实现的舞，一个土生土长的美国人，为了尽快结束这场残酷的战争，被永远地封在了厚厚的冰层下。,5.0,2016-12-11 14:41:58
赫尔哈,,昨天又重温了一遍美队1，还是对里面的女主喜欢的不得了。,4.5,2016-05-28 15:14:47
mrx304304579,成都,很喜欢，感觉人物太多，有点失去主角光环,5.0,2016-05-27 11:30:09
戏谑Dust,烟台,可以的，😜😜😜,4.5,2016-05-23 21:37:34
落陌离尘,石家庄,效果不错，看的很过瘾，就是结局有点不爽啊,3.5,2016-05-19 22:23:39
bwin,重庆,美国队长真是颜值担当，海德拉其实挺酷的,4.5,2016-05-17 23:35:09
淡泊,,美队系列开端，故事性强，动作场面不及后两部也还过得去，美队最强大的是他勇于承担的内心而非改造后强健的身体。,4.0,2016-05-14 18:22:08
醉酒微微酣,上虞,看到睡着了，儿子喜欢没办法,4.0,2016-05-14 14:25:38
按时来了,启东,虽然没多少特效场面，但也拍出了二战时期的感觉。,4.0,2016-05-14 11:05:18
wangyue2266,天津,精彩万分，情节紧凑，激烈，看得热血沸腾。,5.0,2016-05-13 19:00:16
玍念,厦门,被队长的正直善良打动，丢假手榴弹的时候队长的表现让人觉得这才是真男人，队长不顾一切去救自己的朋友，在故事结尾，队长知道自己睡了70年后的第一反应是说我还有一个约会，为这样的爱情心醉，太催泪，喜欢卡特特工，队长真的好帅啊，喜欢复古风,4.5,2016-05-13 11:40:38
金智秀宇宙最乖,,美队啥时候学的开飞机。,5.0,2016-05-12 02:24:17
碎塔,富阳,好长的预告片啊！,3.0,2016-05-11 00:33:41
大鸟,,最爱美国队长,5.0,2016-05-10 22:17:15
zhuangalu,,期待第二部！,3.5,2016-05-09 00:41:32
Dream残阳,,中规中矩一般，还可以,4.0,2016-05-08 11:27:57
羊小昕呆呆___yes,上海,还不错吧，至少看完不尴尬。场面过瘾，逻辑通顺。,3.0,2016-03-13 11:55:23
林火钩沉,北京,还可以吧，剧情比2要好,3.5,2016-03-12 12:23:02
