秋在心头,石家庄,为什么以太粒子伤不到女主角？ 为什么神域没有大型重型武器？ 为什么洛基怎么死都死不了啊？ 为什么雷神3里看不到女主角了？,4.0,2018-05-29 21:54:46
晴天大少爷,北京,精彩的雷神漫威超级英雄,3.5,2018-05-27 14:58:19
壹個人de情歌,杭州,比第一部好点。全片精华也就是等洛基出狱后跟锤哥“谈情说爱”那一点让之前显得沉闷的剧情活泼了起来还时不时吐槽复联😑。娜塔莉·波特曼虽然很美可是依然感觉不出她对于这个系列来说有什么用因为分明是兄弟情而非男女情啊...反派boss依然还是毫无逻辑的挂掉白再前面铺垫那么多感觉很屌的样子不过这个系列真的让我爱上了洛基😋,3.0,2018-05-21 14:01:51
攸涕,贵阳,来回的时空闪跃，虽然毫无讲究，但也增添不少视觉的冲击，想要努力洗白洛基，然而却埋下烟雾，与简的人神恋相对比较简单，大多是为推动剧情需要，显得有些薄弱，而且托尔的性格太过单一，从最开始的冲动易怒一下子变成正儿八经地老好人，与其他超级英雄相比缺乏一定的亮点，确实稍逊一筹...,2.5,2018-05-20 14:26:28
羁客,北京,作为雷神系列的第二部，最大的谜团就是结局奥丁的去向，直到第三部时才解开谜团,4.5,2018-05-17 18:27:09
BKBK,咸阳,漫威10周年！ 向漫威宇宙致敬！,4.5,2018-05-12 15:11:07
UkU234082050,杭州,不错，非常好看,5.0,2018-05-08 17:03:31
始无道,昆山,忘记讲述的是什么故事了？,3.5,2018-04-20 17:11:11
Swiftie恒,信宜,以太粒子，好玄乎的名称！,5.0,2018-04-19 23:36:38
恭喜发财119,上海,一般一般般般,3.5,2018-03-27 20:56:27
逗逼男神,上海,视觉效果还算华丽，然而剧情平庸到除了引出以太粒子，还剩下什么？麻辣鸡丝？基情诀别？连女神娜塔莉波特曼都只能靠打两大男神耳光刷存在感！,3.0,2018-03-17 12:17:22
s1203120163,郑州,相比第一部更加玄幻。,4.0,2018-03-15 08:44:34
