Mr-W,十堰,视觉效果极棒，依旧的燃！但看有种似曾相识的感觉，但丝毫不影响观影体验！《钢铁侠2》打卡！😍😍😍,4.0,2018-08-16 11:14:43
料哥说电影,无为,《钢铁侠2》真的很2，基本上属于那种看不看其实都无所谓的电影。里面有无数熟脸，但最后你谁都记不住。和《变形金刚2》有一个趋势演化的势头：全是一堆钢铁撞来撞去的，撞到最后你只盼着电影赶紧结束。,3.5,2018-06-08 22:09:24
酷狗,福州,与钢铁战士的战斗十分精彩刺激,4.0,2018-06-06 22:13:14
张哥你知道吗,眉山,稍逊于第一部，我是看了妇联才来看的,5.0,2018-05-20 01:01:04
壹個人de情歌,杭州,相较于第一部的惊艳第二部就应证了好莱坞续集难拍魔咒，槽点其实挺多的莫名多出来黑寡妇处处暗示细节就是为了接下去的复联好登场。中心就是为了妮妮如何战胜自我的心魔到最后来一个拯救地球的任务而得到升华。不过米基·洛克饰演的反派电流双鞭的观感真的是太帅了毫无抵挡力不过最后决战跟之前一样太快了，看似很屌的boss怎么就这么不堪一击？不过依然看得很爽怎么办？😏,3.5,2018-05-17 18:46:25
hnht2015,绵阳,第四部mcu,4.0,2018-05-17 16:28:18
兔纸纸和Ayase,瑞安,钢铁侠对MCU的意义真的很重要，最喜欢的超级英雄就是蜘蛛侠和钢铁侠了,5.0,2018-05-17 11:42:51
攸涕,贵阳,贱贱且颇有个性的斯塔克看起来更加亲民，而且由于他的财大气粗，各种壕在金字塔顶端的炫酷带出不少视觉的享受，何况还有两大女星助阵，就是反派依然弱到不可理喻。不过有意思的是影片也透露出了不少“彩蛋”，在建立联盟体系的路上亦是迈出了坚实的一步...,3.0,2018-05-15 22:51:25
玄冰_殇,苏州,今天才补的，从现在的角度看总觉得怪怪的,4.0,2018-05-13 00:58:20
BKBK,咸阳,漫威10周年！ 向漫威宇宙致敬！,4.5,2018-05-12 15:07:52
philoSophie_26,上海,新的反派是Ivan，他的父亲和Tony的父亲曾是合作者，后来Ivan的父亲背叛了后者。Ivan以一种疯狂的姿态找Tony报仇了嗯哼。钢铁侠Tony对战一群无人钢铁侠外加Ivan版钢铁侠...我好像确实对漫威不太感冒，看第三部了也不觉得有激情sigh...,4.0,2018-05-08 22:45:58
闲庭信步,北京,典型的废话太多系列。,3.0,2018-05-06 12:23:21
我在加州吃辣条,成都,真的没有第一部好看，但是寡姐是真的好看（滑稽.JPG）世界观再一次拓展，神盾局战争机器逐步登场。,3.5,2018-05-04 14:59:39
