小松菜奈不太甜,云浮,明明都经历了这么艰难的事情为什么最后还会死掉😭️,5.0,2019-04-27 12:21:17
番薯不好吃.,湛江,爱你不止三千遍,5.0,2019-04-27 09:04:56
一笑奈何,北京,复联4首映回来再看一遍，唉再见青春。,5.0,2019-04-26 08:41:10
VSr896494234,上海,又跟我一样看完复联4来的么,4.0,2019-04-25 01:34:04
Restrain701,湛江,妮妮的演技很出彩，剧情也很棒 Marvel始于Iron Man始于妮妮,4.5,2019-04-25 00:50:20
Biong,郑州,I am Iron Man.,5.0,2019-04-24 12:35:57
yituosamul,瑞安,钢铁侠的初心，从浪子到英雄,4.0,2019-04-23 13:13:02
vae0815,北京,钢铁侠1，很震撼。一直支持漫威,5.0,2019-04-22 23:44:21
七月寄望.,蚌埠,一家濒临破产的公司，一位默默无名的导演，一个事业受挫的演员，正是这样的哀兵之态，成就了一个传奇的作品，也正式开启了漫威宇宙的高光时代。 天才、大款、花花公子、慈善家，顶着这些耀眼光环的托尼斯塔克，他必然成为聚光灯下的耀眼明星。他有着狂妄、放荡、自负的资本，只是，突如其来的变故改变了原本的生活，最后死里逃生的托尼，也开始重新思考过往与以后的路。 从富可敌国的军火商，到高调不羁的钢铁侠，这样一个个性鲜明的人物，可以用智慧的头脑创造最先进的武器，但是驱使自我战斗的动力，却来自于对国家与世界的责任感。,4.0,2019-04-21 19:48:03
罗罗,北京,原来早在一开头，就有了整个“复仇者联盟”计划。漫威真是干大事儿的呀！,3.0,2019-04-16 13:55:56
LTo463287559,百色,∨厂,5.0,2019-04-15 19:21:57
残花败柳,西安,特效很好，剧情大致还好,3.5,2019-04-09 13:53:26
玄冰_殇,苏州,好看 终于补上了 超爱钢铁侠,4.5,2019-03-24 16:59:08
你文,南昌,好看极了！2008年的《钢铁侠》好莱坞电影的钢铁侠托尼·史塔克太帅了！穿上了钢铁盔甲飞上天，保护全世界。还和恐怖分子战斗，还打败了铁霸王！我喜欢《钢铁侠》的美国电影。片尾彩蛋，钢铁侠回到家！看见一个黑衣人在他家！黑衣人对托尼说“你因为是世界唯一的超级英雄”吗？托尼说：你是谁？黑衣人转身说:“尼克·弗瑞，神盾局局长！我想和你谈谈成立复仇者联盟的事”！一个漫威电影宇宙就诞生了。,5.0,2019-03-21 18:03:13
Lemon丶KC,深圳,MCU开山之作！,4.5,2019-03-09 09:22:11
hnht2015,绵阳,第二部mcu,4.5,2018-05-17 16:26:41
兔纸纸和Ayase,瑞安,真的看完就被唐尼圈了，后来越来越喜欢他和他的钢铁侠，想着以后可能钢铁侠不是他，真的有些难过,5.0,2018-05-17 11:44:52
攸涕,贵阳,作为系列的第一部，影片的整体来说还是比较偏剧情，从钢铁侠的横空出世到斯塔克内心的改变，再到彩蛋的复仇者联盟，中规中矩的故事设定显然是在构建出一个核心的框架，使得电影本身更容易被理解和接受，但过于保守和留力的态度让最终的反派boss看起来却是如此的糟糕...,3.0,2018-05-13 23:30:20
壹個人de情歌,杭州,妮妮拯救了漫威，漫威也拯救了妮妮。两者相辅相成也让漫威宇宙顺利展开。这部开篇之作毫无疑问在系列里有着无可替代的作用，而且主创团队对托尼斯塔克这个人物进行了创新不再是以往正统的主角，他话痨也是个花花公子不过也正是有这些正常人的点才会让我们更加对这个有血有肉的斯塔克更加印象深刻不是吗？,4.0,2018-05-13 13:44:13
雪雪wo,兰州,永恒的经典，无法超越,5.0,2018-05-13 13:27:43
啊嘻嘻哦,上饶,开山之作 完美,5.0,2018-05-13 11:12:18
BKBK,咸阳,漫威10周年！ 向漫威宇宙致敬！,4.5,2018-05-12 15:07:29
WLF104317858,张家港,10年前拍出这样的片子，钢铁侠成功不是没道理的！,5.0,2018-05-11 23:21:04
方戴维,芜湖,2009年，一个名叫Uusee的播放器打开了我的漫威历程。犹记得当年首页推荐的榜单电影第一名昆汀的《无耻混蛋》，紧接着就是无限循环的《恐怖游轮》…而万万没想到的是这部《钢铁侠》我整整看了一个寒假，电影里的每一帧、每一句台词，我都记在心里。 深厚的漫氏文化底蕴，庞大的粉丝群体，这部超级英雄电影在当年注定要火，至于火成什么样？能火多久？那得看漫威怎么去布局。 漫威一哥。 我用这样一个词去形容这个曾经跌落谷底的演员应该不为过，谁都有年少轻狂、不识时务的岁月，而谁都有重振旗鼓、大放光彩的机会。而他，就抓住了这个机会，一部所向披靡的《钢铁侠》，让他重回好莱坞巅峰，站在福布斯榜上傲视群雄。10分。,5.0,2018-05-09 13:41:47
