dpp530944076,天津,好好好好好好好好,5.0,2019-04-25 22:47:20
LgC597273014,重庆,今天看完4，再来重温下1,4.5,2019-04-25 20:10:28
Climaxon,常州,我爱复联！洛基小可爱，被浩克抡起来锤的时候真的又心疼又好笑哈哈哈，妮妮超帅美队赛高，雷神当然超帅，锤基大法好。,5.0,2019-04-25 14:40:15
T1丶,深圳,实话说，有点烂 打斗的布局很混乱，就几个精彩特写……里面最屌的奇异博士在玩水……还没有火影忍者的世界大战好，而且完全没有展示出优势劣势，一场战争的终结浓缩在无线手套里……而且灭霸人设太强还是英雄弱化了，但是这样的设定带来的效果其实并不好 只有争夺手套那一块比较有气氛了。而且漫威的设定无线手套只是神器中的其中之一 ，但是把屎大颗弄死了……不知道后面是不是应该讲解下多元宇宙，不能看评分选导演阿……实话说奥创纪元不应该评分那么低的……,2.0,2019-04-24 17:01:49
epI712256088,临潼,大场面，很震撼,4.0,2019-04-24 11:59:10
一只甜鼠,青岛,loki真是可爱又迷人的反派角色啊,4.5,2019-04-23 21:27:35
vae0815,北京,很赞。看的imax，效果很棒。,5.0,2019-04-22 23:41:32
mini爱宝宝219,常州,好的不能再说了。,5.0,2019-04-21 10:03:35
Zls232621650,揭阳,我看的第一部漫威电影,5.0,2019-04-20 00:51:26
LTo463287559,百色,.！p😂️😂️😂️,5.0,2019-04-15 19:24:29
Lumianokia,广州,入坑作品。。,5.0,2019-04-13 00:38:11
Dante-Vergil,永川,不错，剧情不差,4.0,2019-04-13 00:19:30
鑫福的赢家HJ,呼和浩特,最好看的电影，大爱钢铁侠妮妮,5.0,2019-04-12 16:28:11
来份格拉条,北京,没有想象的那么好，但是具体剧情还是很精彩的。,3.5,2019-04-12 15:44:43
-Cottoncandy-,广州,我爱死我的初代了,5.0,2019-04-07 13:21:57
威尔斯先生,抚州,烂片！烂片！,0.5,2018-12-08 18:22:11
IMAX,合肥,漫威就是666666,5.0,2018-12-03 14:54:47
你文,南昌,嗯，《复仇者联盟》的电影太好看了！讲的是美国队长和钢铁侠、鹰眼、浩克、黑寡妇、雷神托尔6位超级英雄组成复仇者联盟，在神盾局局长尼克·弗瑞的指挥下，对付洛基和他的齐塔瑞人大军，防止齐塔瑞人侵略纽约和世界。就再核弹要射下纽约，钢铁侠把核弹飞上外太空把齐塔瑞人的飞船给消灭了！打败了敌人，复仇者联盟集结。抓住了洛基，让托尔把他带回阿斯加德接受审判。拯救了地球。。尼克·弗瑞说的对，这个世界是需要复仇者联盟的。我知道团结就是力量。复仇者联盟必须集结。就可以打败敌人。我喜欢《复仇者联盟》的电影。,5.0,2018-11-26 11:31:39
Xgh716183949,桂林,完美，不多说,5.0,2018-11-12 21:53:29
你很漫长,成都,看的很燃，很爽,3.0,2018-08-21 21:13:05
HarleySama,南阳,特效依旧辣么好看,4.0,2018-08-17 09:27:22
影迷酸菜,商洛,好看好看好看。,4.5,2018-08-16 07:16:52
Jaylor-,株洲,克里斯海姆斯沃斯❤,5.0,2018-08-11 13:10:40
BdO540962581,汝城县,完美，一如既往的完美,5.0,2018-08-10 11:50:33
